train,test,nll,pos,rot
-326.805486878279,-346.2668662248608,-327.27641686727833,4.136384747693786,0.055004913013341816
-325.8838454183686,-341.01629201512924,-326.3599413494731,4.179831920640234,0.05570859921186469
-326.4701289820991,-342.83379937143775,-326.9410400390625,4.133576698795635,0.055177751582029255
-327.0756852533761,-342.99171279317807,-327.54628593977105,4.135954136844791,0.054664821385644206
-326.4806820956049,-341.21795336608955,-326.95711499591204,4.184979483718503,0.05544075482459956
-326.9934689826432,-340.81427710327796,-327.46813255132633,4.17002742372417,0.055227260256922525
-326.87795359088796,-344.8764643467567,-327.3497215093568,4.143681376233488,0.055010045077218565
-326.6334107440611,-345.2230630255816,-327.1015220464662,4.104279393057829,0.05534393894811009
-327.14239713345125,-344.8469141114273,-327.61255095725835,4.126277902838083,0.055153169864138894
-326.43301378809696,-342.6180486668566,-326.9033046988554,4.123616468784334,0.05552623394963353
-327.2122822046138,-341.2725492898211,-327.6829869469931,4.134329435320375,0.054958297676125235
-327.3153627369712,-342.6519655265485,-327.7854372956032,4.126523341943157,0.05503072684933973
-327.31323822240415,-342.91858409382036,-327.78426982081214,4.136993100343084,0.05500229118868362
-327.77872371848315,-342.0145070673699,-328.2436778933503,4.081116698131544,0.054435733012681786
-327.1742829345817,-346.43795172594145,-327.6464950206668,4.14642273326512,0.05509147281910098
-326.80712860541223,-342.8163713025152,-327.27874684888263,4.1398181610959846,0.05522941780644794
-327.945492036159,-346.49744349540487,-328.40938550372454,4.070396246473888,0.05449255295964175
-327.69202120371807,-339.16670480789054,-328.1646253009175,4.152881448254862,0.054847859106091565
-327.9954051914661,-342.1603924356324,-328.4653611294059,4.125459055630568,0.054946365484664604
-327.4704016245483,-343.51230304628643,-327.9425311421239,4.148617079416726,0.05482831086183703
-327.217953973231,-343.0094513152293,-327.6920705396076,4.164130380216269,0.05524293099378431
